ServerName                                                                                                                       DatabaseName                                                                                                                     CreationDate            SizeMB                                  RecoveryModel                                                DbOwner                                                                                                                          LastFullBackup          LastDiffBackup          LastLogBackup
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ----------------------- --------------------------------------- ------------------------------------------------------------ -------------------------------------------------------------------------------------------------------------------------------- ----------------------- ----------------------- -----------------------
ShakorySmartTech                                                                                                                 AdventureWorks2022                                                                                                               2024-01-08 21:44:51.703 272.000000                              FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             2023-05-23 11:56:15.000 NULL                    NULL
ShakorySmartTech                                                                                                                 AiAppDB                                                                                                                          2025-03-29 11:34:57.690 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 chat_with_ai                                                                                                                     2024-08-16 08:20:38.937 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 CustomerSupportDB                                                                                                                2024-12-07 20:42:12.380 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 hands_on_project                                                                                                                 2024-09-10 19:47:53.170 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 HannPay                                                                                                                          2024-10-14 18:46:28.547 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 hr_database                                                                                                                      2024-03-10 09:47:38.400 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 hr_database_info                                                                                                                 2024-03-10 09:51:38.520 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 IBM Stock                                                                                                                        2023-12-17 23:26:02.503 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 LibraryDB                                                                                                                        2024-09-12 06:45:02.960 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 LibraryManagement                                                                                                                2024-12-05 20:49:43.947 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 master                                                                                                                           2003-04-08 09:13:36.390 5.250000                                SIMPLE                                                       sa                                                                                                                               NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 model                                                                                                                            2003-04-08 09:13:36.390 16.000000                               FULL                                                         sa                                                                                                                               NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 msdb                                                                                                                             2022-10-08 06:31:57.550 16.312500                               SIMPLE                                                       sa                                                                                                                               NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 MyDatabase                                                                                                                       2025-03-30 15:45:43.017 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 NORTHWND                                                                                                                         2024-10-11 03:53:18.927 9.625000                                SIMPLE                                                       SHAKORYSMARTTEC\USER                                                                                                             2011-08-10 19:46:56.000 NULL                    NULL
ShakorySmartTech                                                                                                                 Oyin secondary school                                                                                                            2024-08-28 21:14:46.440 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 Packt_database                                                                                                                   2025-05-18 10:35:51.220 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 practice_with_zero                                                                                                               2024-03-10 07:18:22.630 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 practiceDB                                                                                                                       2025-05-17 22:53:48.623 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 SalesDB                                                                                                                          2025-03-30 15:46:38.567 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 SchoolDB                                                                                                                         2024-09-10 21:18:15.353 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 ShakorlyGadgetStore                                                                                                              2024-09-15 21:37:01.643 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 SolaStudyDB                                                                                                                      2025-03-31 14:23:10.953 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 SQL ESSENCIAL                                                                                                                    2024-10-11 03:19:55.857 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 stock data                                                                                                                       2023-12-17 23:28:26.137 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 Stock_keeping                                                                                                                    2024-08-27 21:29:45.437 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 tempdb                                                                                                                           2025-07-02 11:12:19.393 72.000000                               SIMPLE                                                       sa                                                                                                                               NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 tescacontrol                                                                                                                     2024-11-02 20:30:52.247 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 tescaedwdb                                                                                                                       2024-11-02 20:30:52.090 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 TescaOLTP                                                                                                                        2025-02-20 09:03:36.473 2832.000000                             FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             2024-10-19 08:14:13.000 NULL                    NULL
ShakorySmartTech                                                                                                                 tescaoltpdb                                                                                                                      2024-12-01 06:34:10.210 2832.000000                             FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 tescastagingdb                                                                                                                   2024-11-02 20:30:51.913 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL
ShakorySmartTech                                                                                                                 zero_to_mastry                                                                                                                   2024-03-12 22:24:50.003 16.000000                               FULL                                                         SHAKORYSMARTTEC\USER                                                                                                             NULL                    NULL                    NULL

(34 rows affected)


Completion time: 2025-07-02T20:37:39.7134418+01:00
